#nodes #threads &  duration &  mpi duration\\
2 & 1 & 20342789 & 5119151 \\
2 & 2 & 21020924 & 5113811 \\
2 & 3 & 20046758 & 3772181 \\
2 & 4 & 18976556 & 3486018 \\
4 & 1 & 9802884 & 7298245 \\
4 & 2 & 8864990 & 6357218 \\
4 & 3 & 10434312 & 6093742 \\
4 & 4 & 11679009 & 6065121 \\
8 & 1 & 7937878 & 11552348 \\
8 & 2 & 8728196 & 8826472 \\
8 & 3 & 7220651 & 8442273 \\
8 & 4 & 8022704 & 7666291\\
